_id,Major1,Major2,Major3
1394693,PSYCH,ART H,
1536403,SOC,,
1385587,INFO,INFO,
1473177,DANISH,COM,
1370059,E E,C SCI,
1536826,POL S,,
1479705,CEP,,
1490170,FINANC,CISB,
1548641,ANTH,ENGL,
1569280,PH,,
1727968,LING,,
1590316,ECON,,
1627988,SPHSC,,
1489137,ACCTG,FINANC,
1578377,COM,,
1470000,SOC WF,AES,
1720993,CIV E,,
1500076,E E,,
1595202,ECON,,
1391776,ACCTG,FINANC,
1659733,OCEAN,,
1534257,CEP,,
1491205,HCDE,,
942047,N MATR,,
1219918,HSERV,,
1478376,BSE,,
1274387,AFS,,
1577825,FRENCH,,
1572699,COM,,
1316032,NURSX,,
1487407,ECON,,
1580438,ACCTG,,
1393247,FINANC,,
1621400,ACCTGX,,
1574610,PH,,
1576552,BIOCHM,,
1554100,PH,,
1627380,COM,,
1391431,ACCTGX,,
1409407,EDUCX,,
1628204,ANTH,,
1284970,MATH,,
1389198,COM,,
1308197,HIST,COM,
1628212,IND E,,
1402794,BIOL,,
1306531,COM,,
1497412,M E,,
1713276,MEDXD,,
1001735,DESIGN,,
1329685,PHYS,,
1538326,CMP E,,
1574632,ACMS,,
1535053,ANTH,BIOL,
1677409,COM,ENGL,
1436260,GEOG,,
1546411,PSYCH,,
1568772,FINANC,,
1563084,INFO,,
1497961,BIOL,,
1390806,MATH,,
1590244,MS E,,
1489123,FINANC,MKTG,
1437187,SISA,,
1497121,ANTH,HCDE,
1391793,BIOCHM,ACMS,
1484467,ESRM,,
1472720,COM,,
1499128,I S,OSCM,POL S
1361363,MKTG,PSYCH,
1480115,CIV E,,
1416395,COM,,
1416884,PSYCH,ANTH,
1484082,DESIGN,,
1598549,C SCI,,
469774,AES,,
1566830,BIOCHM,,
1410340,BIOCHM,,
1514792,ANTH,SISA,ANTH
1498996,BIOL,,
1479482,CIV E,,
1206004,GEOG,,
1579389,COM,,
1588692,POL S,,
1629711,SOC,,
1322773,SISA,,
1483934,E E,,
1567653,HCDE,,
1647390,SOC WF,,
1581105,E E,,
1311135,ACCTG,C SCI,
1560412,POL S,,
1413637,MATH,,
1495289,SOC,,
1493731,PH,,
1507041,ECFS,,
1389930,BIOEN,,
1536827,C SCI,,
1593841,MKTG,HRMGT,
1593111,MATH,ECON,
1488315,ACCTG,CISB,
1621194,ENGL,,
1560256,E E,,
1494551,ECON,SOC,
1488855,CIV E,,
1488126,SOC WF,,
1577408,ART,,
1408508,POL S,,
1315204,COM,,
1396399,DRAMA,,
1584798,INFO,,
628593,BIOL,,
1845372,AES,,
1414556,IND E,,
1390820,PSYCH,,
1425007,SCM,,
1724237,POL S,,
1411711,INFO,,
1484084,OSCM,,
1408865,SOC,,
1495608,B A,SPAN,CISB
1398201,SIS,,
1399473,PSYCH,,
1519024,PSYCH,,
1559792,GEOG,,
1574797,PSYCH,PHIL,
1486356,MICRO,,
1579853,PHYS,,
1480171,CHEM E,,
1581804,M E,,
1504770,COM,,
1307845,ESRM,,
1584298,ACMS,,
1506047,PHYS,,
1629776,HIST,,
1484964,COM,,
1554484,PSYCH,,
1482719,MST,,
1328766,PSYCH,,
1402999,BIOL,,
1488910,EDUC,,
1487577,SISA,,
1571233,POL S,,
1218804,CHID,,
1317190,BIOL,ENGL,
1579194,CHID,ENGL,
1398619,IND E,,
1554673,SOC,,
1407034,ARCHST,,
1571123,AFS,,
1758687,HRMGT,,
1582397,A A,,
1587538,PHYS,,
1497209,DRAMA,,
1488699,C SCI,,
1393767,T SOCW,,
1496027,MST,,
1479671,BIOEN,,
1408944,COM,ART H,
1363105,NURSX,,
1569885,FINANC,,
1629770,ENGL,,
1404487,IND E,,
1481277,ECFS,,
1579555,ESS,,
1618288,MICRO,,
1591559,A A,,
1399706,PH,ANTH,
1477422,PHYS,,
1496880,POL S,,
1571102,BIOL,,
1724287,MLS,,
1692815,SPHSC,,
1402183,CHEM E,,
1706795,CHEM E,,
1408263,COM,,
1491120,PHIL,,
1406421,CIV E,,
1403289,ECON,,
1407714,ECFS,,
1588714,INFO,,
1480986,A A,,
1613978,NURS,,
1505539,MATH,,
1742048,PSYCH,,
1402567,GEOG,,
1818005,NURS,,
1413499,BIOL,,
1581264,E E,,
1643160,M E,,
1383124,ART,,
1403367,A A,,
1571796,ECON,,
1341892,FINANC,,
1579476,COM,,
1393797,BIOEN,,
1396807,LSJ,,
1490061,CEP,,
1467385,ART,,
1535400,HIST,,
1585753,PH,,
1471607,HCDE,,
1726975,M E,,
1619975,ENGL,,
1613964,NURS,,
1570810,FINANC,MKTG,ENTRE
1478331,I S,OSCM,
1273634,INFO,,
1081339,OCEAN,,
1416952,BIOCHM,,
1275496,PH,,
1411466,MKTG,,
1586786,LSJ,PHIL,
1394457,EDUC,,
1487414,A A,,
1486950,PHIL,ACMS,
1484122,COM,,
1325039,SOC,,
1459314,ECFS O,,
1402951,ENV H,,
1586310,BIOL,,
1515527,M E,,
1486024,ANTH,,
1382843,REHAB,,
284250,N MATR,,
1491315,PHYS,,
1480267,ENV H,,
987465,EDUC,,
1306663,DESIGN,,
1476978,ART,,
1770651,POL S,,
1826316,ANTH,HIST,
1331150,PH,,
1535951,E E,,
1403381,SOC,,
1578247,ESRM,,
1469415,BIOL,,
1495556,BIOCHM,,
1409705,ANTH,,
1726988,ESRM,,
1504208,ANTH,,
1405929,N MATR,,
1340139,FINANC,I S,
1592838,MS E,,
1364859,ECON,,
1580605,BIOL,,
1565106,CEP,,
1395006,PHARMD,,
1343317,ECO,,
1537266,PSYCH,,
1725337,SISA,,
1736697,PSYCH,,
1564480,FINANC,MKTG,
1390583,ENGL,,
1492648,M E,,
1565396,ESRM,,
1400225,BIOCHM,,
1397120,SOC,,
1442099,MUSIC,,
